?trait	?trait_name	?mapped_traits
<http://purl.obolibrary.org/obo/PPO_0002321>	"expanded immature true leaf present"	"expanded immature true leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002315>	"unfolded true leaf present"	"unfolded true leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002620>	"expanded immature true leaf absent"	"expanded immature true leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002303>	"new shoot system emerging from ground present"	"new shoot system emerging from ground present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002606>	"vegetative bud absent"	"vegetative bud absent"
<http://purl.obolibrary.org/obo/PPO_0002305>	"seedling present"	"seedling present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002603>	"new shoot system emerging from ground in first growth cycle absent"	"new shoot system emerging from ground in first growth cycle absent"
<http://purl.obolibrary.org/obo/PPO_0002631>	"unopened flower absent"	"unopened flower absent"
<http://purl.obolibrary.org/obo/PPO_0002608>	"non-dormant vegetative bud absent"	"non-dormant vegetative bud absent"
<http://purl.obolibrary.org/obo/PPO_0002632>	"open flower absent"	"open flower absent"
<http://purl.obolibrary.org/obo/PPO_0002616>	"senescing true leaf absent"	"senescing true leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002648>	"open microsporangiate strobilus absent"	"open microsporangiate strobilus absent"
<http://purl.obolibrary.org/obo/PPO_0002312>	"vascular leaf present"	"vascular leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002300>	"plant structure present"	"plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002302>	"new above-ground shoot-borne shoot system present"	"new above-ground shoot-borne shoot system present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002602>	"new shoot system emerging from ground absent"	"new shoot system emerging from ground absent"
<http://purl.obolibrary.org/obo/PPO_0002607>	"dormant vegetative bud absent"	"dormant vegetative bud absent"
<http://purl.obolibrary.org/obo/PPO_0002301>	"new shoot system present"	"new shoot system present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002356>	"abscised plant structure present"	"abscised plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002639>	"pollen-releasing inflorescence absent"	"pollen-releasing inflorescence absent"
<http://purl.obolibrary.org/obo/PPO_0002358>	"abscised fruit or seed present"	"abscised fruit or seed present"
<http://purl.obolibrary.org/obo/PPO_0002654>	"ripe megasporangiate strobilus absent"	"ripe megasporangiate strobilus absent"
<http://purl.obolibrary.org/obo/PPO_0002344>	"unripe fruit present"	"unripe fruit present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002339>	"open inflorescence present"	"open inflorescence present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002642>	"ripening fruit absent"	"ripening fruit absent"
<http://purl.obolibrary.org/obo/PPO_0002325>	"non-senesced reproductive shoot system present"	"non-senesced reproductive shoot system present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002625>	"unopened reproductive shoot system absent"	"unopened reproductive shoot system absent"
<http://purl.obolibrary.org/obo/PPO_0002336>	"inflorescence present"	"inflorescence present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002352>	"fresh megasporangiate strobilus present"	"fresh megasporangiate strobilus present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002359>	"abscised megasporangiate strobilus present"	"abscised megasporangiate strobilus present"
<http://purl.obolibrary.org/obo/PPO_0002313>	"true leaf present"	"true leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002650>	"megasporangiate strobilus absent"	"megasporangiate strobilus absent"
<http://purl.obolibrary.org/obo/PPO_0002638>	"open inflorescence absent"	"open inflorescence absent"
<http://purl.obolibrary.org/obo/PPO_0002337>	"non-senesced inflorescence present"	"non-senesced inflorescence present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002350>	"pollen-releasing microsporangiate strobilus present"	"pollen-releasing microsporangiate strobilus present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002644>	"ripe fruit absent"	"ripe fruit absent"
<http://purl.obolibrary.org/obo/PPO_0002335>	"senesced flower present"	"senesced flower present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002615>	"non-senescing unfolded true leaf absent"	"non-senescing unfolded true leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002612>	"true leaf absent"	"true leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002601>	"new above-ground shoot-borne shoot system absent"	"new above-ground shoot-borne shoot system absent"
<http://purl.obolibrary.org/obo/PPO_0002617>	"immature unfolded true leaf absent"	"immature unfolded true leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002622>	"reproductive structure absent"	"reproductive structure absent"
<http://purl.obolibrary.org/obo/PPO_0002656>	"abscised leaf absent"	"abscised leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002657>	"abscised fruit or seed absent"	"abscised fruit or seed absent"
<http://purl.obolibrary.org/obo/PPO_0002641>	"simple fruit or compound fruit absent"	"simple fruit or compound fruit absent"
<http://purl.obolibrary.org/obo/PPO_0002636>	"non-senesced inflorescence absent"	"non-senesced inflorescence absent"
<http://purl.obolibrary.org/obo/PPO_0002306>	"new shoot system emerging from ground in later growth cycle present"	"new shoot system emerging from ground in later growth cycle present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002322>	"expanding true leaf present"	"expanding true leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002338>	"unopened inflorescence present"	"unopened inflorescence present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002348>	"fresh microsporangiate strobilus present"	"fresh microsporangiate strobilus present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002314>	"unfolding true leaf present"	"unfolding true leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002319>	"mature true leaf present"	"mature true leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002318>	"immature unfolded true leaf present"	"immature unfolded true leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002331>	"non-senesced flower present"	"non-senesced flower present|plant structure present"
