dataSource,scientificName,trait,family,year,dayOfYear,latitude,longitude,observedMetadataUrl,occurrenceID,genus,date,recordedBy,coordinateUncertaintyInMeters,modelUri,accuracyExcludingUncertainFamily,ObservedImageUrl,verbatimTrait,annotation_method
iNaturalist,Rubus ursinus,green leaves present,Rosaceae,2013,55,37.919694,-122.532912,https://www.inaturalist.org/observations/001b2d92-da68-4801-b953-6e183c69a84e,001b2d92-da68-4801-b953-6e183c69a84e,Rubus,2013-02-24,12616,NA,10.57967/hf/5785,0.9869934967483742,https://www.inaturalist.org/photos/261943,green leaves,machine
iNaturalist,Populus tremuloides,green leaves present,Salicaceae,2011,259,35.8116882498,-105.6600236893,https://www.inaturalist.org/observations/001d5340-2dbe-4195-b832-b1d6043db10a,001d5340-2dbe-4195-b832-b1d6043db10a,Populus,2011-09-16,1153393,603,10.57967/hf/5785,0.9788867562380038,https://www.inaturalist.org/photos/176983152,green leaves,machine
iNaturalist,Viburnum opulus,breaking buds present,Viburnaceae,2007,109,52.3098866667,0.2890216667,https://www.inaturalist.org/observations/001d5392-3dd1-48cb-8772-5440ba5546b3,001d5392-3dd1-48cb-8772-5440ba5546b3,Viburnum,2007-04-19,10564,NA,10.57967/hf/5785,0.996268656716418,https://www.inaturalist.org/photos/58012047,breaking buds,machine
iNaturalist,Tilia cordata,green leaves present,Malvaceae,2010,176,54.848403905,47.3836670003,https://www.inaturalist.org/observations/001ecffd-7f40-409c-96e3-62283dff0fa5,001ecffd-7f40-409c-96e3-62283dff0fa5,Tilia,2010-06-25,1237850,244,10.57967/hf/5785,0.9938271604938272,https://www.inaturalist.org/photos/62159957,green leaves,machine
iNaturalist,Ficus coronata,green leaves present,Moraceae,2012,100,-26.7809818336,152.5670202354,https://www.inaturalist.org/observations/0020aeef-50fd-4568-aef0-f5362d85aa07,0020aeef-50fd-4568-aef0-f5362d85aa07,Ficus,2012-04-09,108966,623,10.57967/hf/5785,1,https://www.inaturalist.org/photos/251242641,green leaves,machine
iNaturalist,Prunus serotina,green leaves present,Rosaceae,2011,87,33.9514758183,-84.5298736732,https://www.inaturalist.org/observations/0020b45e-76e9-4a96-9133-7e62bc266e96,0020b45e-76e9-4a96-9133-7e62bc266e96,Prunus,2011-03-28,4348831,28902,10.57967/hf/5785,0.9869934967483742,https://www.inaturalist.org/photos/328623154,green leaves,machine
iNaturalist,Cotoneaster melanocarpus,green leaves present,Rosaceae,2006,174,47.8451856863,31.1240908276,https://www.inaturalist.org/observations/00216d8e-2151-4d60-88cf-19a2b1259c70,00216d8e-2151-4d60-88cf-19a2b1259c70,Cotoneaster,2006-06-23,2826522,61,10.57967/hf/5785,0.9869934967483742,https://www.inaturalist.org/photos/110690798,green leaves,machine
iNaturalist,Toxicodendron radicans,colored leaves present,Anacardiaceae,2004,293,43.7518569795,-70.0355212047,https://www.inaturalist.org/observations/0021d6fc-09e5-431c-b02d-076859613429,0021d6fc-09e5-431c-b02d-076859613429,Toxicodendron,2004-10-19,1809129,82,10.57967/hf/5785,0.9874651810584958,https://www.inaturalist.org/photos/56609388,colored leaves,machine
iNaturalist,Vaccinium angustifolium,green leaves present,Ericaceae,2003,143,44.5667234117,-77.217117548,https://www.inaturalist.org/observations/00223471-1223-4e44-8b6a-3a5417c475d2,00223471-1223-4e44-8b6a-3a5417c475d2,Vaccinium,2003-05-23,437461,15,10.57967/hf/5785,0.978125,https://www.inaturalist.org/photos/8039289,green leaves,machine
iNaturalist,Daphne gnidium,green leaves present,Thymelaeaceae,2010,287,38.5611678377,14.8599137268,https://www.inaturalist.org/observations/00244e10-b4fa-446b-8627-0dcea592b41b,00244e10-b4fa-446b-8627-0dcea592b41b,Daphne,2010-10-14,7165882,678,10.57967/hf/5785,1,https://www.inaturalist.org/photos/305191562,green leaves,machine
iNaturalist,Prunus spinosa,green leaves present,Rosaceae,2011,156,55.4939204556,46.4341882789,https://www.inaturalist.org/observations/002483f2-129f-4835-9cb4-5b09472955c3,002483f2-129f-4835-9cb4-5b09472955c3,Prunus,2011-06-05,1363782,4,10.57967/hf/5785,0.9869934967483742,https://www.inaturalist.org/photos/32958979,green leaves,machine
