annotation_id,datasource,verbatim_date,day_of_year,year,latitude,longitude,coordinate_uncertainty_meters,family,count_family,genus,scientific_name,taxon_rank,trait,observed_image_guid,observed_image_url,observed_metadata_url,certainty,model_uri,prediction_probability,prediction_class,proportion_low_certainty_family,accuracy_excluding_low_certainty_family,accuracy_family
a129698b-1eca-4dcb-bdfa-67d1eb06478b,sample,4/29/21,119,2021,41.22574643,-124.1073637,1087,Nyctaginaceae,2024,Abronia,Abronia latifolia,species,flower,126554783,https://www.inaturalist.org/photos/126554783,https://www.inaturalist.org/observations/84ea1e0b-43e2-406f-bf37-88ef3705f433,high,10.57967/hf/2763,0.153198242,Not Detected,0.047924901,0.98858329,0.964920949
1f86ab5e-bbdc-4da1-b402-ba45d7f5fe34,sample,4/29/21,119,2021,41.22574643,-124.1073637,1087,Nyctaginaceae,2024,Abronia,Abronia latifolia,species,fruit,126554783,https://www.inaturalist.org/photos/126554783,https://www.inaturalist.org/observations/84ea1e0b-43e2-406f-bf37-88ef3705f433,high,10.57967/hf/2763,0.026504517,Not Detected,0.024209486,0.98278481,0.9743083
