scientificName,family,canonicalName,matchedScientificName,status,matchType,confidence,usageKey,error
Miconia alata (Aubl.) DC.,Melastomataceae,Miconia alata,Miconia alata (Aubl.) DC.,ACCEPTED,EXACT,100,3860801,
Astragalus curvicarpus var. curvicarpus,Fabaceae,Astragalus curvicarpus curvicarpus,Astragalus curvicarpus var. curvicarpus,ACCEPTED,EXACT,100,7225295,
Mimosa pigra L.,Fabaceae,Mimosa pigra,Mimosa pigra L.,ACCEPTED,EXACT,100,2969431,
Physaria chambersii var. chambersii,Brassicaceae,Physaria chambersii chambersii,Physaria chambersii var. chambersii,SYNONYM,EXACT,100,6392737,
Mahonia fremontii (Torr.) Fedde,Berberidaceae,Mahonia fremontii,Mahonia fremontii (Torr.) Fedde,SYNONYM,EXACT,100,3033870,
Pagamea coriacea Spruce ex Benth.,Rubiaceae,Pagamea coriacea,Pagamea coriacea Spruce ex Benth.,ACCEPTED,EXACT,100,2902155,
Pastinaca sativa L.,Apiaceae,Pastinaca sativa,Pastinaca sativa L.,ACCEPTED,EXACT,100,8262702,
Penstemon laetus var. laetus,Plantaginaceae,Penstemon laetus laetus,Penstemon laetus var. laetus,ACCEPTED,EXACT,100,6439505,
Glossopetalon spinescens var. microphyllum N.H.Holmgren,Crossosomataceae,Glossopetalon spinescens microphyllum,Glossopetalon spinescens var. microphyllum N.H.Holmgren,ACCEPTED,EXACT,100,3647422,
Senna bauhinioides (A.Gray) H.S.Irwin & Barneby,Fabaceae,Senna bauhinioides,Senna bauhinioides (A.Gray) H.S.Irwin & Barneby,ACCEPTED,EXACT,100,2958096,
Rosa woodsii Lindl.,Rosaceae,Rosa woodsii,Rosa woodsii Lindl.,ACCEPTED,EXACT,100,3004072,
Parnassia palustris var. parviflora (DC.) B.Boivin,Parnassiaceae,Parnassia palustris parviflora,Parnassia palustris var. parviflora (DC.) B.Boivin,SYNONYM,EXACT,100,3592452,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Bignoniaceae,ACCEPTED,EXACT,96,6655,
Astragalus convallarius var. convallarius,Fabaceae,Astragalus convallarius convallarius,Astragalus convallarius var. convallarius,ACCEPTED,EXACT,100,7565906,
Scutellaria galericulata L.,Lamiaceae,Scutellaria galericulata,Scutellaria galericulata L.,ACCEPTED,EXACT,100,2926759,
Asystasia gangetica (L.) T.Anderson,Acanthaceae,Asystasia gangetica,Asystasia gangetica (L.) T.Anderson,ACCEPTED,EXACT,100,3173254,
Lycianthes asarifolia (Kunth & C.D.Bouché) Bitter,Solanaceae,Lycianthes asarifolia,Lycianthes asarifolia (Kunth & C.D.Bouché) Bitter,SYNONYM,EXACT,100,2928973,
Kielmeyera rubriflora var. major Saddi,Calophyllaceae,Kielmeyera rubriflora major,Kielmeyera rubriflora var. major Saddi,ACCEPTED,EXACT,100,3713571,
Malcolmia africana (L.) R.Br.,Brassicaceae,Malcolmia africana,Malcolmia africana (L.) R.Br.,ACCEPTED,EXACT,100,8139063,
Aniba citrifolia (Nees) Mez,Lauraceae,Aniba citrifolia,Aniba citrifolia (Nees) Mez,ACCEPTED,EXACT,100,4181593,
Ossaea meridionalis D' El Rei Souza,Melastomataceae,Ossaea meridionalis,Ossaea meridionalis D' El Rei Souza,SYNONYM,EXACT,100,3863024,
Pterolepis repanda (DC.) Triana,Melastomataceae,Pterolepis repanda,Pterolepis repanda (DC.) Triana,ACCEPTED,EXACT,100,5600694,
Faramea corymbosa Aubl.,Rubiaceae,Faramea corymbosa,Faramea corymbosa Aubl.,ACCEPTED,EXACT,100,2898186,
Cedrela fissilis Vell.,Meliaceae,Cedrela fissilis,Cedrela fissilis Vell.,ACCEPTED,EXACT,100,7107974,
Solidago ulmifolia var. ulmifolia,Asteraceae,Solidago ulmifolia ulmifolia,Solidago ulmifolia var. ulmifolia,ACCEPTED,EXACT,100,8413391,
Penstemon azureus var. azureus,Plantaginaceae,Penstemon azureus azureus,Penstemon azureus var. azureus,ACCEPTED,EXACT,100,7226444,
Apiaceae,Apiaceae,Apiaceae,Apiaceae,ACCEPTED,EXACT,96,6720,
Lithospermum arvense L.,Boraginaceae,Lithospermum arvense,Lithospermum arvense L.,SYNONYM,EXACT,100,2925902,
Penstemon attenuatus Douglas ex Lindl.,Plantaginaceae,Penstemon attenuatus,Penstemon attenuatus Douglas ex Lindl.,DOUBTFUL,EXACT,100,3171585,
Hyoscyamus albus L.,Solanaceae,Hyoscyamus albus,Hyoscyamus albus L.,ACCEPTED,EXACT,100,2928979,
Tibouchina gayana (Naudin) Cogn.,Melastomataceae,Tibouchina gayana,Tibouchina gayana (Naudin) Cogn.,SYNONYM,EXACT,100,3862799,
Physostegia praemorsa Shinners,Lamiaceae,Physostegia praemorsa,Physostegia praemorsa Shinners,SYNONYM,EXACT,100,3883279,
Minuartia caroliniana (Walter) Mattf.,Caryophyllaceae,Minuartia caroliniana,Minuartia caroliniana (Walter) Mattf.,SYNONYM,EXACT,100,3085541,
Hebeclinium macrophyllum (L.) DC.,Asteraceae,Hebeclinium macrophyllum,Hebeclinium macrophyllum (L.) DC.,ACCEPTED,EXACT,100,3139425,
Astragalus mokiacensis A.Gray,Fabaceae,Astragalus mokiacensis,Astragalus mokiacensis A.Gray,ACCEPTED,EXACT,100,5342863,
Chromolaena laevigata (Lam.) R.M.King & H.Rob.,Asteraceae,Chromolaena laevigata,Chromolaena laevigata (Lam.) R.M.King & H.Rob.,ACCEPTED,EXACT,100,3087662,
Symphyotrichum hallii (A.Gray) G.L.Nesom,Asteraceae,Symphyotrichum hallii,Symphyotrichum hallii (A.Gray) G.L.Nesom,ACCEPTED,EXACT,100,3151419,
Mimosa margaritae Rose,Fabaceae,Mimosa margaritae,Mimosa margaritae Rose,ACCEPTED,EXACT,100,2969574,
Penstemon goodrichii N.H.Holmgren,Plantaginaceae,Penstemon goodrichii,Penstemon goodrichii N.H.Holmgren,ACCEPTED,EXACT,100,3171448,
Lupinus minimus Hook.,Fabaceae,Lupinus minimus,Lupinus minimus Hook.,DOUBTFUL,EXACT,100,2964297,
Hymenoxys acaulis var. acaulis,Asteraceae,Hymenoxys acaulis acaulis,Hymenoxys acaulis var. acaulis,SYNONYM,EXACT,100,6302994,
Macrocentrum droseroides Triana,Melastomataceae,Macrocentrum droseroides,Macrocentrum droseroides Triana,ACCEPTED,EXACT,100,5599403,
Pterocaulon angustifolium DC.,Asteraceae,Pterocaulon angustifolium,Pterocaulon angustifolium DC.,ACCEPTED,EXACT,100,5392242,
Gaultheria erecta Vent.,Ericaceae,Gaultheria erecta,Gaultheria erecta Vent.,ACCEPTED,EXACT,100,4171873,
Nymphaea lasiophylla Mart. & Zucc.,Nymphaeaceae,Nymphaea lasiophylla,Nymphaea lasiophylla Mart. & Zucc.,ACCEPTED,EXACT,100,3697480,
Polygala cuspidata DC.,Polygalaceae,Polygala cuspidata,Polygala cuspidata DC.,ACCEPTED,EXACT,100,7636975,
Kalanchoe pinnata (Lam.) Pers.,Crassulaceae,Kalanchoe pinnata,Kalanchoe pinnata (Lam.) Pers.,ACCEPTED,EXACT,100,2985930,
Evax prolifera Nutt. ex DC.,Asteraceae,Evax prolifera,Evax prolifera Nutt. ex DC.,SYNONYM,EXACT,100,3086556,
Periandra mediterranea (Vell.) Taub.,Fabaceae,Periandra mediterranea,Periandra mediterranea (Vell.) Taub.,ACCEPTED,EXACT,100,5352500,
Macairea radula (Bonpl.) DC.,Melastomataceae,Macairea radula,Macairea radula (Bonpl.) DC.,ACCEPTED,EXACT,100,3859212,
Amphiachyris dracunculoides (DC.) Nutt.,Asteraceae,Amphiachyris dracunculoides,Amphiachyris dracunculoides (DC.) Nutt.,ACCEPTED,EXACT,100,3110041,
Cryptantha barbigera (A.Gray) Greene,Boraginaceae,Cryptantha barbigera,Cryptantha barbigera (A.Gray) Greene,ACCEPTED,EXACT,100,2926215,
Oenothera pallida Lindl.,Onagraceae,Oenothera pallida,Oenothera pallida Lindl.,ACCEPTED,EXACT,100,3188816,
Schoenocrambe linearifolia (A.Gray) Rollins,Brassicaceae,Schoenocrambe linearifolia,Schoenocrambe linearifolia (A.Gray) Rollins,SYNONYM,EXACT,100,3047791,
Helenium microcephalum DC.,Asteraceae,Helenium microcephalum,Helenium microcephalum DC.,ACCEPTED,EXACT,100,5401883,
Heteropterys Kunth,Malpighiaceae,Heteropterys,Heteropterys Kunth,ACCEPTED,EXACT,100,3191290,
Crataegus straminea Beadle,Rosaceae,Crataegus straminea,Crataegus straminea Beadle,SYNONYM,EXACT,100,3015595,
Acacia greggii A.Gray,Fabaceae,Acacia greggii,Acacia greggii A.Gray,SYNONYM,EXACT,100,2978332,
Pectis exilis D.J.Keil,Asteraceae,Pectis exilis,Pectis exilis D.J.Keil,ACCEPTED,EXACT,100,5405497,
Licania reticulata Prance,Chrysobalanaceae,Licania reticulata,Licania reticulata Prance,SYNONYM,EXACT,100,2985394,
Orthocarpus copelandii var. cryptanthus (Piper) D.D.Keck,Orobanchaceae,Orthocarpus copelandii cryptanthus,Orthocarpus copelandii var. cryptanthus (Piper) D.D.Keck,SYNONYM,EXACT,100,3729823,
Callaeum psilophyllum (A.Juss.) D.M.Johnson,Malpighiaceae,Callaeum psilophyllum,Callaeum psilophyllum (A.Juss.) D.M.Johnson,ACCEPTED,EXACT,100,3983973,
Solanum lacerdae Dusén,Solanaceae,Solanum lacerdae,Solanum lacerdae Dusén,ACCEPTED,EXACT,100,2931025,
Calliandra fasciculata var. bracteosa (Benth.) Barneby,Fabaceae,Calliandra fasciculata bracteosa,Calliandra fasciculata var. bracteosa (Benth.) Barneby,ACCEPTED,EXACT,100,2981955,
Gasteranthus calcaratus (Kunth) Wiehler,Gesneriaceae,Gasteranthus calcaratus,Gasteranthus calcaratus (Kunth) Wiehler,ACCEPTED,EXACT,100,6365130,
Layia fremontii (Torr. & A.Gray) A.Gray,Asteraceae,Layia fremontii,Layia fremontii (Torr. & A.Gray) A.Gray,ACCEPTED,EXACT,100,5392990,
Miconia eugenioides Triana,Melastomataceae,Miconia eugenioides,Miconia eugenioides Triana,ACCEPTED,EXACT,100,3866563,
Cerastium arvense subsp. strictum (L.) Gaudin,Caryophyllaceae,Cerastium arvense strictum,Cerastium arvense subsp. strictum (L.) Gaudin,SYNONYM,EXACT,100,8198124,
Eryngium marginatum Pohl,Apiaceae,Eryngium marginatum,Eryngium marginatum Pohl,SYNONYM,EXACT,100,8523630,
Desmodium dillenii Darl.,Fabaceae,Desmodium dillenii,Desmodium dillenii Darl.,HETEROTYPIC_SYNONYM,EXACT,100,2967866,
Gustavia augusta L.,Lecythidaceae,Gustavia augusta,Gustavia augusta L.,ACCEPTED,EXACT,100,5383804,
Astragalus siliceus Barneby,Fabaceae,Astragalus siliceus,Astragalus siliceus Barneby,ACCEPTED,EXACT,100,5345709,
Banisteriopsis campestris (A.Juss.) Little,Malpighiaceae,Banisteriopsis campestris,Banisteriopsis campestris (A.Juss.) Little,ACCEPTED,EXACT,100,3985635,
Miconia hyemalis A.St.-Hil. & Naudin ex Naudin,Melastomataceae,Miconia hyemalis,Miconia hyemalis A.St.-Hil. & Naudin ex Naudin,ACCEPTED,EXACT,100,3864061,
Myrcia sylvatica (G.Mey.) DC.,Myrtaceae,Myrcia sylvatica,Myrcia sylvatica (G.Mey.) DC.,ACCEPTED,EXACT,100,3174126,
Macrolobium acaciifolium (Benth.) Benth.,Fabaceae,Macrolobium acaciifolium,Macrolobium acaciifolium (Benth.) Benth.,ACCEPTED,EXACT,100,2948882,
Sphaeralcea parvifolia A.Nelson,Malvaceae,Sphaeralcea parvifolia,Sphaeralcea parvifolia A.Nelson,ACCEPTED,EXACT,100,3152436,
Sonchus arvensis subsp. arvensis,Asteraceae,Sonchus arvensis arvensis,Sonchus arvensis subsp. arvensis,ACCEPTED,EXACT,100,7222599,
Grazielia serrata (Spreng.) R.M.King & H.Rob.,Asteraceae,Grazielia serrata,Grazielia serrata (Spreng.) R.M.King & H.Rob.,ACCEPTED,EXACT,100,3142588,
Mimulus moschatus Douglas ex Lindl.,Phrymaceae,Mimulus moschatus,Mimulus moschatus Douglas ex Lindl.,SYNONYM,EXACT,100,6070793,
Astragalus purshii var. tinctus M.E.Jones,Fabaceae,Astragalus purshii tinctus,Astragalus purshii var. tinctus M.E.Jones,ACCEPTED,EXACT,100,5342915,
Symphyotrichum eatonii (A.Gray) G.L.Nesom,Asteraceae,Symphyotrichum eatonii,Symphyotrichum eatonii (A.Gray) G.L.Nesom,SYNONYM,EXACT,100,3151781,
Rondeletia buddleioides Benth.,Rubiaceae,Rondeletia buddleioides,Rondeletia buddleioides Benth.,SYNONYM,EXACT,100,5336119,
Nuttallanthus texanus (Scheele) D.A.Sutton,Plantaginaceae,Nuttallanthus texanus,Nuttallanthus texanus (Scheele) D.A.Sutton,ACCEPTED,EXACT,100,3172129,
Penstemon laxiflorus Pennell,Plantaginaceae,Penstemon laxiflorus,Penstemon laxiflorus Pennell,ACCEPTED,EXACT,100,3171512,
Juglandaceae,Juglandaceae,Juglandaceae,Juglandaceae,ACCEPTED,EXACT,96,2499,
Solanum stenandrum Sendtn.,Solanaceae,Solanum stenandrum,Solanum stenandrum Sendtn.,ACCEPTED,EXACT,100,2929756,
Miconia matthaei Naudin,Melastomataceae,Miconia matthaei,Miconia matthaei Naudin,ACCEPTED,EXACT,100,3861216,
Chrysopsis graminifolia var. graminifolia,Asteraceae,Chrysopsis graminifolia graminifolia,Chrysopsis graminifolia var. graminifolia,SYNONYM,EXACT,100,6444961,
Marlierea clausseniana (O.Berg) Kiaersk.,Myrtaceae,Marlierea clausseniana,Marlierea clausseniana (O.Berg) Kiaersk.,ACCEPTED,EXACT,100,3186211,
Doellingeria umbellata (Mill.) Nees,Asteraceae,Doellingeria umbellata,Doellingeria umbellata (Mill.) Nees,ACCEPTED,EXACT,100,3148260,
Astragalus mollissimus var. thompsonae (S.Watson) Barneby,Fabaceae,Astragalus mollissimus thompsonae,Astragalus mollissimus var. thompsonae (S.Watson) Barneby,SYNONYM,EXACT,100,5342769,
Senna didymobotrya (Fresen.) H.S.Irwin & Barneby,Fabaceae,Senna didymobotrya,Senna didymobotrya (Fresen.) H.S.Irwin & Barneby,ACCEPTED,EXACT,100,2957556,
Symphoricarpos occidentalis (R.Br.) Hook.,Caprifoliaceae,Symphoricarpos occidentalis,Symphoricarpos occidentalis (R.Br.) Hook.,ACCEPTED,EXACT,100,2888632,
Packera werneriifolia (A.Gray) W.A.Weber & Á.Löve,Asteraceae,Packera werneriifolia,Packera werneriifolia (A.Gray) W.A.Weber & Á.Löve,ACCEPTED,EXACT,100,8053778,
Ipomoea clausa Rudolph ex Ledeb.,Convolvulaceae,Ipomoea clausa,Ipomoea clausa Rudolph ex Ledeb.,ACCEPTED,EXACT,100,3681327,
Verbena litoralis Kunth,Verbenaceae,Verbena litoralis,Verbena litoralis Kunth,ACCEPTED,EXACT,100,2925494,
Hymenopappus scabiosaeus L'Hér.,Asteraceae,Hymenopappus scabiosaeus,Hymenopappus scabiosaeus L'Hér.,ACCEPTED,EXACT,100,3110174,
Solanum paludosum Moric.,Solanaceae,Solanum paludosum,Solanum paludosum Moric.,ACCEPTED,EXACT,100,2929289,
Cymopterus lemmonii (J.M.Coult. & Rose) Dorn,Apiaceae,Cymopterus lemmonii,Cymopterus lemmonii (J.M.Coult. & Rose) Dorn,ACCEPTED,EXACT,100,3034888,
Lesquerella douglasii S.Watson,Brassicaceae,Lesquerella douglasii,Lesquerella douglasii S.Watson,SYNONYM,EXACT,100,5375737,
Solidago rugosa var. sphagnophila C.Graves,Asteraceae,Solidago rugosa sphagnophila,Solidago rugosa var. sphagnophila C.Graves,SYNONYM,EXACT,100,5704459,
Astragalus spaldingii A.Gray,Fabaceae,Astragalus spaldingii,Astragalus spaldingii A.Gray,ACCEPTED,EXACT,100,5344191,
Banisteriopsis confusa B.Gates,Malpighiaceae,Banisteriopsis confusa,Banisteriopsis confusa B.Gates,ACCEPTED,EXACT,100,3985579,
Myrcia venulosa DC.,Myrtaceae,Myrcia venulosa,Myrcia venulosa DC.,ACCEPTED,EXACT,100,3174853,
Boechera demissa var. pendulina (Greene) N.H.Holmgren,Brassicaceae,Boechera demissa pendulina,Boechera demissa var. pendulina (Greene) N.H.Holmgren,SYNONYM,EXACT,100,3043363,
Eriogonum niveum Douglas ex Benth.,Polygonaceae,Eriogonum niveum,Eriogonum niveum Douglas ex Benth.,ACCEPTED,EXACT,100,2889469,
Rivina humilis L.,Phytolaccaceae,Rivina humilis,Rivina humilis L.,ACCEPTED,EXACT,100,3084027,
Parinari rodolphii Huber,Chrysobalanaceae,Parinari rodolphii,Parinari rodolphii Huber,ACCEPTED,EXACT,100,2984970,
Abutilon avicennae Gaertn.,Malvaceae,Abutilon avicennae,Abutilon avicennae Gaertn.,SYNONYM,EXACT,100,3152616,
Schefflera decaphylla (Seem.) Harms,Araliaceae,Schefflera decaphylla,Schefflera decaphylla (Seem.) Harms,SYNONYM,EXACT,100,3037788,
Chaenactis macrantha D.C.Eaton,Asteraceae,Chaenactis macrantha,Chaenactis macrantha D.C.Eaton,ACCEPTED,EXACT,100,3114831,
Penstemon roezlii Regel,Plantaginaceae,Penstemon roezlii,Penstemon roezlii Regel,ACCEPTED,EXACT,100,3171340,
Fevillea trilobata L.,Cucurbitaceae,Fevillea trilobata,Fevillea trilobata L.,ACCEPTED,EXACT,100,7317799,
Astragalus neglectus (Torr. & A.Gray) E.Sheld.,Fabaceae,Astragalus neglectus,Astragalus neglectus (Torr. & A.Gray) E.Sheld.,ACCEPTED,EXACT,100,5346938,
Melilotus officinalis (L.) Pallas,Fabaceae,Melilotus officinalis,Melilotus officinalis (L.) Pallas,DOUBTFUL,EXACT,100,2971024,
Hieracium longipilum Torr. ex Hook.,Asteraceae,Hieracium longipilum,Hieracium longipilum Torr. ex Hook.,ACCEPTED,EXACT,100,8013247,
Mimosa distans var. neuroloma (Benth.) Barneby,Fabaceae,Mimosa distans neuroloma,Mimosa distans var. neuroloma (Benth.) Barneby,ACCEPTED,EXACT,100,3795813,
Sanguisorba canadensis L.,Rosaceae,Sanguisorba canadensis,Sanguisorba canadensis L.,ACCEPTED,EXACT,100,3029411,
Sophronanthe hispida Benth.,Plantaginaceae,Sophronanthe hispida,Sophronanthe hispida Benth.,SYNONYM,EXACT,100,8296544,
Triosteum perfoliatum L.,Caprifoliaceae,Triosteum perfoliatum,Triosteum perfoliatum L.,ACCEPTED,EXACT,100,2888715,
Mikania micrantha Kunth,Asteraceae,Mikania micrantha,Mikania micrantha Kunth,ACCEPTED,EXACT,100,5398421,
Erigeron tener (A.Gray) A.Gray,Asteraceae,Erigeron tener,Erigeron tener (A.Gray) A.Gray,ACCEPTED,EXACT,100,3147118,
Miconia doniana Naudin,Melastomataceae,Miconia doniana,Miconia doniana Naudin,ACCEPTED,EXACT,100,11374722,
Ceanothus mogollonicus Greene,Rhamnaceae,Ceanothus mogollonicus,Ceanothus mogollonicus Greene,SYNONYM,EXACT,100,3876821,
Lappula occidentalis (S.Watson) Greene,Boraginaceae,Lappula occidentalis,Lappula occidentalis (S.Watson) Greene,ACCEPTED,EXACT,100,2925753,
Bignonia callistegioides Cham.,Bignoniaceae,Bignonia callistegioides,Bignonia callistegioides Cham.,ACCEPTED,EXACT,100,4093976,
Mikania lasiandrae DC.,Asteraceae,Mikania lasiandrae,Mikania lasiandrae DC.,ACCEPTED,EXACT,100,5398923,
Crotalaria flavicoma Benth.,Fabaceae,Crotalaria flavicoma,Crotalaria flavicoma Benth.,ACCEPTED,EXACT,100,2942926,
Lomatium gormanii (Howell) J.M.Coult. & Rose,Apiaceae,Lomatium gormanii,Lomatium gormanii (Howell) J.M.Coult. & Rose,ACCEPTED,EXACT,100,3034353,
Miconia ferruginata DC.,Melastomataceae,Miconia ferruginata,Miconia ferruginata DC.,ACCEPTED,EXACT,100,3866305,
Spiraea alba Du Roi,Rosaceae,Spiraea alba,Spiraea alba Du Roi,ACCEPTED,EXACT,100,3026585,
Salvia scabrida Pohl,Lamiaceae,Salvia scabrida,Salvia scabrida Pohl,ACCEPTED,EXACT,100,3888300,
Trichostema dichotomum L.,Lamiaceae,Trichostema dichotomum,Trichostema dichotomum L.,ACCEPTED,EXACT,100,2926665,
Penstemon confusus M.E.Jones,Plantaginaceae,Penstemon confusus,Penstemon confusus M.E.Jones,ACCEPTED,EXACT,100,3171515,
Lysimachia nummularia L.,Primulaceae,Lysimachia nummularia,Lysimachia nummularia L.,ACCEPTED,EXACT,100,3169379,
Davilla nitida (Vahl) Kubitzki,Dilleniaceae,Davilla nitida,Davilla nitida (Vahl) Kubitzki,ACCEPTED,EXACT,100,5680944,
Heterotheca hirsuta (Greene) G.L.Nesom,Asteraceae,Heterotheca hirsuta,Heterotheca hirsuta (Greene) G.L.Nesom,ACCEPTED,EXACT,100,11133012,
Luffa sepium (G.Mey.) C.Jeffrey,Cucurbitaceae,Luffa sepium,Luffa sepium (G.Mey.) C.Jeffrey,ACCEPTED,EXACT,100,3622511,
Myosotis alpestris F.W.Schmidt,Boraginaceae,Myosotis alpestris,Myosotis alpestris F.W.Schmidt,ACCEPTED,EXACT,100,5341187,
Raulinoreitzia crenulata (Spreng.) R.M.King & H.Rob.,Asteraceae,Raulinoreitzia crenulata,Raulinoreitzia crenulata (Spreng.) R.M.King & H.Rob.,ACCEPTED,EXACT,100,3113868,
Spondias mombin L.,Anacardiaceae,Spondias mombin,Spondias mombin L.,DOUBTFUL,EXACT,100,3190593,
Lachnorhiza piloselloides A.Rich.,Asteraceae,Lachnorhiza piloselloides,Lachnorhiza piloselloides A.Rich.,ACCEPTED,EXACT,100,3144091,
Saxifraga rhomboidea Greene,Saxifragaceae,Saxifraga rhomboidea,Saxifraga rhomboidea Greene,SYNONYM,EXACT,100,3032855,
Agoseris glauca var. glauca,Asteraceae,Agoseris glauca glauca,Agoseris glauca var. glauca,ACCEPTED,EXACT,100,7066539,
Lepidium perfoliatum L.,Brassicaceae,Lepidium perfoliatum,Lepidium perfoliatum L.,ACCEPTED,EXACT,100,5376816,
Aesculus sylvatica W.Bartram,Sapindaceae,Aesculus sylvatica,Aesculus sylvatica W.Bartram,ACCEPTED,EXACT,100,3189816,
Lupinus arbustus subsp. pseudoparviflorus (Rydb.) D.B.Dunn,Fabaceae,Lupinus arbustus pseudoparviflorus,Lupinus arbustus subsp. pseudoparviflorus (Rydb.) D.B.Dunn,ACCEPTED,EXACT,100,2964601,
Desmodium scorpiurus (Sw.) Desv.,Fabaceae,Desmodium scorpiurus,Desmodium scorpiurus (Sw.) Desv.,SYNONYM,EXACT,100,2967724,
Miconia dodecandra (Desr.) Cogn.,Melastomataceae,Miconia dodecandra,Miconia dodecandra (Desr.) Cogn.,ACCEPTED,EXACT,100,3867434,
Tiquilia gossypina (Wooton & Standl.) A.T.Richardson,Ehretiaceae,Tiquilia gossypina,Tiquilia gossypina (Wooton & Standl.) A.T.Richardson,ACCEPTED,EXACT,100,2926025,
Penstemon arkansanus Pennell,Plantaginaceae,Penstemon arkansanus,Penstemon arkansanus Pennell,ACCEPTED,EXACT,100,3171608,
Vernonia gigantea var. gigantea,Asteraceae,Vernonia gigantea gigantea,Vernonia gigantea var. gigantea,SYNONYM,EXACT,100,8211118,
Lithophragma parviflorum (Hook.) Nutt.,Saxifragaceae,Lithophragma parviflorum,Lithophragma parviflorum (Hook.) Nutt.,SYNONYM,EXACT,100,3032542,
Erythrina crista-galli L.,Fabaceae,Erythrina crista-galli,Erythrina crista-galli L.,ACCEPTED,EXACT,100,5349719,
Ranunculus cymbalaria var. saximontanus Fernald,Ranunculaceae,Ranunculus cymbalaria saximontanus,Ranunculus cymbalaria var. saximontanus Fernald,SYNONYM,EXACT,100,6289626,
Kalanchoe integra (Medik.) Kuntze,Crassulaceae,Kalanchoe integra,Kalanchoe integra (Medik.) Kuntze,ACCEPTED,EXACT,100,2985939,
Mimulus cardinalis Douglas ex Benth.,Phrymaceae,Mimulus cardinalis,Mimulus cardinalis Douglas ex Benth.,SYNONYM,EXACT,100,6070720,
Eryngium ebracteatum Lam.,Apiaceae,Eryngium ebracteatum,Eryngium ebracteatum Lam.,ACCEPTED,EXACT,100,6026555,
Balizia pedicellaris (DC.) Barneby & J.W.Grimes,Fabaceae,Balizia pedicellaris,Balizia pedicellaris (DC.) Barneby & J.W.Grimes,ACCEPTED,EXACT,100,2973151,
Orthocarpus purpureoalbus S.Watson,Orobanchaceae,Orthocarpus purpureoalbus,Orthocarpus purpureoalbus S.Watson,ACCEPTED,EXACT,100,3171629,
Matelea baldwyniana (Sweet) Woodson,Apocynaceae,Matelea baldwyniana,Matelea baldwyniana (Sweet) Woodson,ACCEPTED,EXACT,100,3170510,
Anemone multifida Poir.,Ranunculaceae,Anemone multifida,Anemone multifida Poir.,ACCEPTED,EXACT,100,3033252,
Dalechampia cujabensis Mart. ex Müll.Arg.,Euphorbiaceae,Dalechampia cujabensis,Dalechampia cujabensis Mart. ex Müll.Arg.,ACCEPTED,EXACT,100,3055729,
Lonchocarpus heptaphyllus (Poir.) DC.,Fabaceae,Lonchocarpus heptaphyllus,Lonchocarpus heptaphyllus (Poir.) DC.,ACCEPTED,EXACT,100,2969089,
Phyla cuneifolia (Torr.) Greene,Verbenaceae,Phyla cuneifolia,Phyla cuneifolia (Torr.) Greene,ACCEPTED,EXACT,100,5341108,
Lippia L.,Verbenaceae,Lippia,Lippia L.,ACCEPTED,EXACT,100,2925383,
Stifftia chrysantha J.C.Mikan,Asteraceae,Stifftia chrysantha,Stifftia chrysantha J.C.Mikan,ACCEPTED,EXACT,100,5405436,
Dodecatheon thornense Lunell,Primulaceae,Dodecatheon thornense,Dodecatheon thornense Lunell,SYNONYM,EXACT,100,4007871,
Microlicia harleyi Wurdack,Melastomataceae,Microlicia harleyi,Microlicia harleyi Wurdack,ACCEPTED,EXACT,100,3861178,
Symphyotrichum potosinum (A.Gray) G.L.Nesom,Asteraceae,Symphyotrichum potosinum,Symphyotrichum potosinum (A.Gray) G.L.Nesom,ACCEPTED,EXACT,100,3151630,
Arnica gracilis Rydb.,Asteraceae,Arnica gracilis,Arnica gracilis Rydb.,ACCEPTED,EXACT,100,5405964,
Barjonia chlorifolia Decne.,Apocynaceae,Barjonia chlorifolia,Barjonia chlorifolia Decne.,ACCEPTED,EXACT,100,3571311,
Apeiba tibourbou Aubl.,Malvaceae,Apeiba tibourbou,Apeiba tibourbou Aubl.,ACCEPTED,EXACT,100,3152052,
Elatine brachysperma A.Gray,Elatinaceae,Elatine brachysperma,Elatine brachysperma A.Gray,ACCEPTED,EXACT,100,5421100,
Chamaecrista rotundifolia var. rotundifolia,Fabaceae,Chamaecrista rotundifolia rotundifolia,Chamaecrista rotundifolia var. rotundifolia,ACCEPTED,EXACT,100,7224480,
Clarkia purpurea subsp. quadrivulnera (Douglas) F.H.Lewis & M.E.Lewis,Onagraceae,Clarkia purpurea quadrivulnera,Clarkia purpurea subsp. quadrivulnera (Douglas) F.H.Lewis & M.E.Lewis,ACCEPTED,EXACT,100,5544928,
Solidago squarrosa Muhl.,Asteraceae,Solidago squarrosa,Solidago squarrosa Muhl.,ACCEPTED,EXACT,100,8121727,
Mitracarpus maxwelliae Britton & P.Wilson,Rubiaceae,Mitracarpus maxwelliae,Mitracarpus maxwelliae Britton & P.Wilson,ACCEPTED,EXACT,100,2912949,
Penstemon gibbensii Dorn,Plantaginaceae,Penstemon gibbensii,Penstemon gibbensii Dorn,ACCEPTED,EXACT,100,3171597,
Eutetras pringlei Greenm.,Asteraceae,Eutetras pringlei,Eutetras pringlei Greenm.,ACCEPTED,EXACT,100,3144198,
Solidago ohioensis Riddell,Asteraceae,Solidago ohioensis,Solidago ohioensis Riddell,ACCEPTED,EXACT,100,5388948,
