machine_learning_annotation_id,datasource,verbatim_date,day_of_year,year,latitude,longitude,coordinate_uncertainty_meters,family,count_family,genus,scientific_name,taxon_rank,trait,observed_image_guid,observed_image_url,observed_metadata_url,certainty,model_uri,prediction_probability,prediction_class,proportion_low_certainty_family,accuracy_excluding_low_certainty_family,accuracy_family
184601e2-92ab-4032-86a7-9e21f3a473c2,iNaturalist,8/16/19,228,2019,-34.41204722,19.19251389,7,Iridaceae,7959,Gladiolus,Gladiolus gracilis,species,flower,48451420,https://www.inaturalist.org/photos/48451420,https://www.inaturalist.org/observations/88ed9860-d0dc-4987-9190-ff6a2e02f8b1,high,10.57967/hf/2763,0.999511719,Detected,0.021108179,0.994737518,0.986304812
629827cd-da5e-4eda-9ed6-44baae33e95a,iNaturalist,8/16/19,228,2019,-34.41204722,19.19251389,7,Iridaceae,7959,Gladiolus,Gladiolus gracilis,species,fruit,48451420,https://www.inaturalist.org/photos/48451420,https://www.inaturalist.org/observations/88ed9860-d0dc-4987-9190-ff6a2e02f8b1,high,10.57967/hf/2763,0.005958557,Not Detected,0.025631361,0.980528691,0.96959417
38124d23-e5f8-4995-8e78-a2c90cbd1ded,iNaturalist,5/31/21,151,2021,42.68266661,-72.2717126,9,Fagaceae,3610,Fagus,Fagus grandifolia,species,flower,133099057,https://www.inaturalist.org/photos/133099057,https://www.inaturalist.org/observations/47eb72e7-80f1-4a6e-91d4-22b9436160c5,high,10.57967/hf/2763,0.004116058,Not Detected,0.070637119,0.981818182,0.959279778
8990b810-dfb1-4409-9e8b-d2750c84c530,iNaturalist,5/31/21,151,2021,42.68266661,-72.2717126,9,Fagaceae,3610,Fagus,Fagus grandifolia,species,fruit,133099057,https://www.inaturalist.org/photos/133099057,https://www.inaturalist.org/observations/47eb72e7-80f1-4a6e-91d4-22b9436160c5,high,10.57967/hf/2763,0.003429413,Not Detected,0.067867036,0.970282318,0.949030471
51f397d1-26fa-49b3-8c8f-43c0b3c8ce20,iNaturalist,3/21/22,80,2022,39.58391167,-121.5543967,5,Boraginaceae,18082,Nemophila,Nemophila heterophylla,species,flower,184006407,https://www.inaturalist.org/photos/184006407,https://www.inaturalist.org/observations/9cff9c4b-d47a-4151-8ca1-beb3c34c3df4,high,10.57967/hf/2763,0.998535156,Detected,0.042307267,0.98995207,0.964882203
3228e15e-1784-4614-bde6-3a23a3a64eee,iNaturalist,3/21/22,80,2022,39.58391167,-121.5543967,5,Boraginaceae,18082,Nemophila,Nemophila heterophylla,species,fruit,184006407,https://www.inaturalist.org/photos/184006407,https://www.inaturalist.org/observations/9cff9c4b-d47a-4151-8ca1-beb3c34c3df4,high,10.57967/hf/2763,0.03817749,Not Detected,0.032186705,0.981428571,0.9694171
dc64820a-5c9a-4705-b1a2-952fc1150098,iNaturalist,7/18/07,199,2007,62.51096553,34.94746238,96,Crassulaceae,1244,Sedum,Sedum acre,species,flower,66284897,https://www.inaturalist.org/photos/66284897,https://www.inaturalist.org/observations/94cdf25c-7d0a-4374-a511-d37dcc78e0c7,high,10.57967/hf/2763,0.987304688,Detected,0.189710611,0.950396825,0.856913183
c77c9a6f-f064-40b5-ab4b-cd7380af1585,iNaturalist,7/18/07,199,2007,62.51096553,34.94746238,96,Crassulaceae,1244,Sedum,Sedum acre,species,fruit,66284897,https://www.inaturalist.org/photos/66284897,https://www.inaturalist.org/observations/94cdf25c-7d0a-4374-a511-d37dcc78e0c7,high,10.57967/hf/2763,0.159301758,Not Detected,0.167202572,0.942084942,0.881028939
33ec288b-e614-46c1-944a-fc9cf4a4228d,iNaturalist,5/30/21,150,2021,54.93930265,20.33140716,15,Caryophyllaceae,11578,Stellaria,Stellaria nemorum,species,flower,133160978,https://www.inaturalist.org/photos/133160978,https://www.inaturalist.org/observations/e4c1a134-cc07-4124-a42a-b87f55d08536,high,10.57967/hf/2763,0.998046875,Detected,0.053549836,0.991604307,0.964588012
66c2f069-f523-4549-b1cf-dc91a6bd2147,iNaturalist,5/30/21,150,2021,54.93930265,20.33140716,15,Caryophyllaceae,11578,Stellaria,Stellaria nemorum,species,fruit,133160978,https://www.inaturalist.org/photos/133160978,https://www.inaturalist.org/observations/e4c1a134-cc07-4124-a42a-b87f55d08536,high,10.57967/hf/2763,0.050994873,Not Detected,0.042926239,0.978160816,0.965797202
ca24fd73-4164-45f4-9dea-e392f42f007e,iNaturalist,7/26/18,207,2018,40.92099444,-121.4191583,5,Asteraceae,104342,Rigiopappus,Rigiopappus leptocladus,species,flower,22302161,https://www.inaturalist.org/photos/22302161,https://www.inaturalist.org/observations/831f3b30-4c58-4e02-8d9c-34b9f53d0b05,high,10.57967/hf/2763,0.174316406,Not Detected,0.076009661,0.982813164,0.944087712
